,coingecko_id
algorand,algorand
apecoin,apecoin
avalanche-2,avalanche-2
axie-infinity,
binance-usd,
chain-2,
chiliz,chiliz
cosmos,
crypto-com-chain,
dai,dai
filecoin,filecoin
flow,flow
frax,
ftx-token,
hedera-hashgraph,
internet-computer,internet-computer
leo-token,
lido-dao,
matic-network,
near,linear
okb,okb
polkadot,polkadot
quant-network,
shiba-inu,
solana,solana
staked-ether,
terra-luna,
tezos,tezos
the-sandbox,
uniswap,uniswap
usd-coin,
vechain,vechain
wrapped-bitcoin,wrapped-bitcoin
